item_index,image_index,corX,corY
0,0,0,0
1,0,0,512
2,0,0,1024
3,0,0,1536
4,0,0,2048
5,0,0,2560
6,0,0,3072
7,0,0,3584
8,0,0,4096
9,0,0,4608
10,0,0,5120
11,0,0,5632
12,0,0,6144
13,0,0,6160
14,0,512,0
15,0,512,512
16,0,512,1024
17,0,512,1536
18,0,512,2048
19,0,512,2560
20,0,512,3072
21,0,512,3584
22,0,512,4096
23,0,512,4608
24,0,512,5120
25,0,512,5632
26,0,512,6144
27,0,512,6160
28,0,1024,0
29,0,1024,512
30,0,1024,1024
31,0,1024,1536
32,0,1024,2048
33,0,1024,2560
34,0,1024,3072
35,0,1024,3584
36,0,1024,4096
37,0,1024,4608
38,0,1024,5120
39,0,1024,5632
40,0,1024,6144
41,0,1024,6160
42,0,1536,0
43,0,1536,512
44,0,1536,1024
45,0,1536,1536
46,0,1536,2048
47,0,1536,2560
48,0,1536,3072
49,0,1536,3584
50,0,1536,4096
51,0,1536,4608
52,0,1536,5120
53,0,1536,5632
54,0,1536,6144
55,0,1536,6160
56,0,2048,0
57,0,2048,512
58,0,2048,1024
59,0,2048,1536
60,0,2048,2048
61,0,2048,2560
62,0,2048,3072
63,0,2048,3584
64,0,2048,4096
65,0,2048,4608
66,0,2048,5120
67,0,2048,5632
68,0,2048,6144
69,0,2048,6160
70,0,2560,0
71,0,2560,512
72,0,2560,1024
73,0,2560,1536
74,0,2560,2048
75,0,2560,2560
76,0,2560,3072
77,0,2560,3584
78,0,2560,4096
79,0,2560,4608
80,0,2560,5120
81,0,2560,5632
82,0,2560,6144
83,0,2560,6160
84,0,3072,0
85,0,3072,512
86,0,3072,1024
87,0,3072,1536
88,0,3072,2048
89,0,3072,2560
90,0,3072,3072
91,0,3072,3584
92,0,3072,4096
93,0,3072,4608
94,0,3072,5120
95,0,3072,5632
96,0,3072,6144
97,0,3072,6160
98,0,3584,0
99,0,3584,512
100,0,3584,1024
101,0,3584,1536
102,0,3584,2048
103,0,3584,2560
104,0,3584,3072
105,0,3584,3584
106,0,3584,4096
107,0,3584,4608
108,0,3584,5120
109,0,3584,5632
110,0,3584,6144
111,0,3584,6160
112,0,4096,0
113,0,4096,512
114,0,4096,1024
115,0,4096,1536
116,0,4096,2048
117,0,4096,2560
118,0,4096,3072
119,0,4096,3584
120,0,4096,4096
121,0,4096,4608
122,0,4096,5120
123,0,4096,5632
124,0,4096,6144
125,0,4096,6160
126,0,4608,0
127,0,4608,512
128,0,4608,1024
129,0,4608,1536
130,0,4608,2048
131,0,4608,2560
132,0,4608,3072
133,0,4608,3584
134,0,4608,4096
135,0,4608,4608
136,0,4608,5120
137,0,4608,5632
138,0,4608,6144
139,0,4608,6160
140,0,5120,0
141,0,5120,512
142,0,5120,1024
143,0,5120,1536
144,0,5120,2048
145,0,5120,2560
146,0,5120,3072
147,0,5120,3584
148,0,5120,4096
149,0,5120,4608
150,0,5120,5120
151,0,5120,5632
152,0,5120,6144
153,0,5120,6160
154,0,5174,0
155,0,5174,512
156,0,5174,1024
157,0,5174,1536
158,0,5174,2048
159,0,5174,2560
160,0,5174,3072
161,0,5174,3584
162,0,5174,4096
163,0,5174,4608
164,0,5174,5120
165,0,5174,5632
166,0,5174,6144
167,0,5174,6160
